participant,AREA_1,AREA_2,AREA_3,AREA_4,AREA_5,AREA_6,AREA_7,AREA_8,AREA_9,AREA_10,AREA_11,AREA_12,AREA_13,AREA_14,BMRQ_1,BMRQ_2,BMRQ_3,BMRQ_4,BMRQ_5,BMRQ_6,BMRQ_7,BMRQ_8,BMRQ_9,BMRQ_10,BMRQ_11,BMRQ_12,BMRQ_13,BMRQ_14,BMRQ_15,BMRQ_16,BMRQ_17,BMRQ_18,BMRQ_19,BMRQ_20,Sex,Age,Ed,Race,YrsMusic,YrsArt,AReA_aesthApp,AReA_intAesthExp,AReA_creatBehav,AReA_total,BMRQ_sum,BMRQ_musicSeeking,BMRQ_emoEvoc,BMRQ_moodReg,BMRQ_sensMot,BMRQ_social,BMRQ_musicRew
4738,2,4,2,3,2,2,1,1,4,3,3,2,2,3,4,2,5,4,3,2,4,5,5,2,3,2,1,5,5,3,1,5,4,3,Male,20,14,white,0,1,22,8,6,34,68,46.0,54.0,63.0,34.0,30.0,45.0
4745,2,5,4,4,3,3,1,1,5,4,3,3,3,4,4,1,5,5,2,4,5,5,5,5,3,3,5,4,5,4,5,5,4,5,Female,19,12 years,white,11,2,30,10,8,45,84,60.0,59.0,52.0,55.0,59.0,60.0
4750,1,2,4,2,1,1,1,1,3,2,1,1,1,2,4,1,4,5,1,4,4,4,4,4,4,2,5,4,5,3,3,3,4,5,Male,21,14,White/ non-hispanic,5,0,16,4,4,23,73,58.0,40.0,50.0,55.0,56.0,51.0
4751,2,3,3,3,1,3,4,1,4,3,2,3,2,3,4,1,5,5,2,4,4,5,5,3,4,5,5,5,5,4,3,5,5,5,Female,28,14,White,7,0,23,8,8,37,84,57.0,63.0,61.0,49.0,58.0,61.0
4754,2,4,4,3,4,3,3,3,4,3,2,2,2,3,4,1,4,4,1,4,4,5,5,4,5,5,4,5,5,3,2,5,5,5,Male,19,13.5,White,10,3,25,9,10,42,80,57.0,58.0,57.0,57.0,52.0,60.0
4761,3,4,4,4,2,3,2,1,5,3,3,3,2,3,4,1,5,5,1,4,5,5,5,5,4,4,4,4,4,5,4,5,4,5,Male,23,16,white,2,3,28,9,7,42,83,62.0,61.0,50.0,58.0,57.0,61.0
4764,1,4,3,5,4,4,1,3,5,5,3,4,3,4,4,2,4,5,5,4,5,4,5,5,5,2,4,5,4,3,2,5,5,5,Male,19,14,White,7,7,29,13,10,49,83,57.0,44.0,64.0,46.0,44.0,52.0
4769,4,5,3,5,1,4,3,1,3,3,3,4,4,5,4,1,5,5,4,4,5,5,4,2,4,4,5,4,4,4,2,4,5,4,Male,19,14,White,9,0,33,12,7,48,79,58.0,55.0,56.0,35.0,54.0,52.0
4771,2,5,2,4,5,4,2,3,5,3,3,5,5,4,4,2,4,4,2,4,4,4,5,4,4,2,4,5,5,5,2,3,4,4,Other,20,15,white,5,1,31,16,10,52,75,52.0,38.0,59.0,51.0,53.0,50.0
4772,3,4,4,5,1,3,1,1,4,2,2,2,3,3,5,1,5,5,1,5,5,5,4,4,4,4,5,4,5,5,5,5,5,5,Female,20,15,caucasian,10,0,29,8,4,38,87,65.0,62.0,50.0,55.0,72.0,64.0
4774,1,3,3,3,2,3,3,1,4,3,2,2,2,2,4,1,5,5,1,5,4,5,5,5,5,4,5,5,5,4,3,5,5,5,Male,19,13,White,10,1,21,7,8,34,86,61.0,60.0,60.0,61.0,60.0,65.0
4801,2,5,3,4,1,3,1,1,3,2,1,3,3,4,5,1,5,3,2,5,3,5,4,2,2,3,1,5,3,4,2,4,5,4,Male,22,16,White,0,0,27,8,4,36,68,44.0,54.0,53.0,37.0,58.0,49.0
4807,0,3,1,3,1,2,1,1,5,2,2,1,1,2,3,1,3,4,2,4,4,3,3,3,4,3,2,4,4,3,2,3,4,5,Male,21,15,White,0,0,17,5,4,25,64,55.0,33.0,42.0,49.0,43.0,41.0
4808,2,4,4,3,3,3,1,2,4,3,2,2,3,3,5,2,4,4,1,4,4,5,3,5,4,3,3,4,5,5,1,5,4,5,Female,21,14,White,2,3,26,9,7,39,76,51.0,52.0,46.0,60.0,54.0,53.0
4809,1,4,3,3,2,3,1,1,4,3,1,2,3,3,4,2,5,4,3,4,5,5,5,3,4,2,3,4,4,4,2,5,4,4,Female,20,14,White,4,1.5,24,7,6,34,76,54.0,54.0,54.0,41.0,46.0,50.0
4811,1,3,2,2,1,3,1,1,3,3,3,1,1,1,2,1,4,4,2,4,3,4,4,4,3,2,2,4,4,4,2,4,4,4,Female,19,12,White,2,0,16,6,5,26,65,49.0,42.0,48.0,48.0,42.0,44.0
4815,2,4,4,4,1,3,1,2,3,1,4,3,3,4,5,2,5,5,3,5,4,5,5,3,4,4,3,5,3,4,3,5,5,4,Male,26,17 years,caucasian,1-2,1,27,12,3,39,82,53.0,60.0,59.0,40.0,60.0,56.0
4821,2,4,1,3,3,2,5,1,3,5,2,1,2,3,3,2,4,5,5,3,4,3,4,1,2,1,1,3,1,1,1,3,4,2,Female,18,12,Caucasian,0,3,20,6,13,37,53,40.0,31.0,45.0,15.0,30.0,25.0
4824,0,2,2,1,1,3,1,1,4,2,1,1,2,2,2,4,4,2,3,4,4,2,4,2,2,1,4,3,3,3,1,2,4,4,Male,21,14.5,Egyptian,2,0,16,5,4,23,58,31.0,23.0,37.0,37.0,45.0,27.0
4830,2,2,2,3,1,3,1,1,3,1,2,2,2,3,4,2,4,4,5,4,2,2,5,1,4,1,2,4,3,4,2,4,4,3,Male,19,14,White/Asian,7,0,20,7,3,28,64,46.0,30.0,53.0,21.0,51.0,35.0
4843,2,2,3,2,1,3,1,1,4,1,2,2,1,1,4,3,4,5,2,4,4,5,4,4,4,4,4,5,5,4,3,5,5,5,Male,20,14,White,4,0,18,6,3,26,83,50.0,56.0,56.0,54.0,54.0,56.0
4844,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,5,4,5,4,3,4,4,1,3,3,2,4,4,3,1,5,4,4,Male,18,12,white,6,0,10,4,3,16,67,44.0,51.0,51.0,28.0,35.0,39.0
4854,1,4,2,3,1,4,1,1,3,1,1,2,2,2,4,1,3,5,2,2,2,4,4,4,5,2,3,5,5,3,4,4,4,5,Male,17,12,black,0,0,21,6,3,28,71,57.0,39.0,54.0,50.0,47.0,49.0
4856,2,4,2,3,2,4,1,2,4,3,2,3,2,4,5,2,4,4,2,5,3,4,4,4,4,3,4,4,4,5,3,4,4,4,Male,20,14,White,1,0,25,9,6,38,76,51.0,45.0,45.0,48.0,67.0,50.0
4861,2,5,3,4,4,3,2,1,3,4,3,3,3,3,4,2,5,4,3,4,4,5,4,3,4,5,3,4,4,3,2,5,4,3,Female,18,12,White/Asian,10,3,26,10,10,43,75,51.0,61.0,46.0,39.0,47.0,48.0
4866,1,2,0,1,1,1,1,1,3,3,2,1,1,2,4,2,3,4,2,4,4,1,3,4,4,1,2,4,3,3,1,1,3,4,Male,20,13,Asian / White,2,2,11,5,5,20,57,50.0,11.0,38.0,48.0,42.0,31.0
4873,1,5,4,3,2,3,5,2,4,5,2,1,2,3,4,1,5,5,1,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,Male,20,13,White / non hispanic,1,3,25,7,12,42,88,69.0,61.0,58.0,57.0,63.0,66.0
4875,1,4,3,2,1,2,1,1,4,3,2,2,2,2,4,2,4,4,3,5,4,4,5,4,4,3,4,4,4,4,2,4,4,4,Male,18,12,American Asian (South indain),7,1,20,7,5,30,76,50.0,44.0,51.0,46.0,56.0,49.0
4887,1,3,2,3,1,2,1,2,4,4,2,1,1,2,4,2,3,4,3,4,4,4,4,3,4,3,4,4,4,4,2,2,4,3,Male,18,12,White,2,1,18,6,6,29,69,50.0,33.0,47.0,40.0,54.0,42.0
4888,1,3,2,3,2,4,1,2,3,3,2,1,2,3,4,2,4,3,3,4,2,3,4,3,4,2,2,4,4,2,1,4,4,4,Male,19,13.5 years,White,4,3,21,7,6,32,63,42.0,37.0,45.0,41.0,44.0,38.0
4889,2,3,4,4,1,3,1,2,3,3,3,2,2,3,5,1,5,5,2,5,5,5,5,3,4,5,3,5,3,5,4,5,5,4,Female,21,15.5,asian,10,0,24,9,5,36,84,62.0,63.0,57.0,43.0,64.0,61.0
4890,1,3,2,3,2,2,1,1,3,2,1,1,1,1,3,2,4,4,3,4,4,4,5,2,4,4,3,5,4,3,2,4,4,4,Male,18,12,Caucasian,6,0,16,4,5,24,72,50.0,47.0,55.0,39.0,44.0,46.0
4891,0,3,2,2,1,1,1,1,3,3,2,1,2,2,5,1,5,5,3,5,5,5,5,3,5,1,5,5,5,4,1,2,5,5,Male,20,13,Caucasian,4,0,15,6,5,24,80,61.0,40.0,70.0,47.0,56.0,56.0
4892,1,3,3,3,1,3,3,1,3,4,1,2,3,3,4,1,3,4,5,4,3,1,5,1,4,1,3,5,4,3,1,4,5,3,Male,19,13,White,"Like, 5 or so",Around 2,22,7,8,34,64,50.0,22.0,62.0,23.0,49.0,37.0
4896,1,3,2,3,1,2,1,1,4,2,1,1,2,3,3,2,4,3,3,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,Male,19,13 years,white,4,0,20,5,4,27,72,54.0,41.0,41.0,41.0,55.0,43.0
4898,0,3,3,3,2,3,2,1,5,3,3,1,2,2,4,1,4,4,3,2,3,5,4,4,4,4,2,5,5,3,2,4,4,4,Male,19,15,Caucasian,2,6,21,7,7,33,71,52.0,51.0,55.0,46.0,37.0,48.0
4899,1,5,2,4,4,3,5,2,5,5,2,1,3,3,5,1,5,5,1,4,3,5,4,4,3,2,4,5,5,3,1,5,4,5,Female,18,12 years,white,5,2,26,8,14,45,74,48.0,54.0,58.0,54.0,53.0,56.0
