participant,avgRMSE_accurate,avgRMSE_linear,avgRMSE_linear_modality,avgRMSE_averaging,avgRMSE_highAtt,avgRes_linear,avgRes_linear_image,avgRes_linear_music,avgRes_highAtt
4738,1.0833333333333333,1.1848316880561351,1.18378302956872,1.1111111111111112,1.243279667261283,0.7393638125247096,0.7271714396972895,0.7532280853108069,4.557028449040978
4745,2.0277777777777777,1.842905980457618,1.8382242698428375,1.4722222222222223,2.374488356161188,0.46278993839026367,0.4972921720245519,0.42555847925970086,4.496673812125436
4750,0.6944444444444444,1.1498238791190907,1.1404069787018838,1.5,1.1995099890520262,0.9144260325240143,0.9623457481338537,0.8798711062895184,6.25087368306634
4751,1.0555555555555556,1.437225440488769,1.4146129898887685,1.5277777777777777,1.387252149843259,0.8522195229590023,0.9285107272792459,0.795417150481891,5.9202866360068915
4754,1.6388888888888888,1.698308123179007,1.6973781087832451,1.3611111111111112,1.5661207224577671,0.5108148760257972,0.5206792833238958,0.5050280704105031,2.5885773643867886
4761,0.75,1.0864236121733186,1.0503496386518782,1.1666666666666667,1.008759977558009,0.8702124333778901,0.9755145132822266,0.7720882494866552,5.4651500745787915
4764,1.1388888888888888,1.4502557925690902,1.4384679660643471,1.5,1.4586533159178394,0.9321982026251603,0.8433436406220652,0.9804198111992544,8.0209762745545
4769,0.9444444444444444,1.0210962728004433,0.8957126839885379,0.8611111111111112,1.0458781708770495,0.4381698207777298,0.14485759460718334,0.7444440778820035,2.4629065889947888
4771,1.8333333333333333,2.4781020573604575,2.464574349129615,2.361111111111111,2.523954567885892,0.8535147569913063,0.9109454829077779,0.7608227588389842,8.493393510871247
4772,1.75,1.9693445621729044,1.878825210241502,1.7777777777777777,2.2603409627365676,0.7242718920988876,0.8560411793202545,0.589320787315703,6.070999770926356
4774,0.4444444444444444,0.6602397902863413,0.6578333263124553,0.8611111111111112,0.6668660588138495,0.9508074939734664,0.9230700004878725,0.9813797124698002,8.424195115112976
4801,2.5,2.364448293792779,2.294675823736239,1.9722222222222223,2.762944027460579,0.4885321038037913,0.6417821201743911,0.34326178140518177,4.692727942384888
4807,1.8055555555555556,1.9163368383142878,1.910992639384742,1.5833333333333333,2.1382075923889814,0.5459489496129766,0.46929155232332703,0.5738315763605917,4.46888982554368
4808,0.8611111111111112,1.0903344778720214,1.0715295315511915,0.9722222222222222,1.2354576548439886,0.7020561709030171,0.7604722594023403,0.6143090889880087,3.3355831592635563
4809,1.25,1.182993683987994,1.1769717885402395,0.9722222222222222,1.292658438071015,0.6091982949494524,0.6592895790234093,0.5543326267872677,4.056450342471862
4811,1.2222222222222223,1.5357223363855215,1.5295345232357591,1.4444444444444444,1.6298261479838736,0.7911210520605929,0.8270286594087242,0.7520506615805047,5.577405904736451
4815,0.5,0.831344842422424,0.817233886674154,0.8888888888888888,0.8293885963419659,0.9105346786853761,0.9843505606755554,0.828289423619863,7.628695821202388
4821,1.8611111111111112,1.9780941165870745,1.6828407759892938,1.6111111111111112,1.9382556689469814,0.583621752976184,0.8267704265031524,0.33128060574453927,4.006960577458599
4824,0.8611111111111112,1.175638160723783,1.173780502435934,1.1111111111111112,1.259408846882307,0.79723140886284,0.8288885433864084,0.7806319978882845,5.990676097802314
4830,1.5833333333333333,1.7282985638347137,1.7275040756810816,1.3611111111111112,1.7300169031722268,0.6637526471856003,0.6604323956091929,0.6671045385670565,4.857466588136174
4843,1.4166666666666667,1.642038565291463,1.5430289717417545,1.5,1.8689930119166123,0.7045809630509192,0.8916765772480417,0.5276368500854128,7.09093683488116
4844,0.5277777777777778,0.7818199535770534,0.7019644988594512,1.0555555555555556,0.6264235903731227,0.8628590949225968,0.9911464366379413,0.7375641428692984,4.800721165838006
4854,1.9722222222222223,2.4343345853247103,2.3850327018883704,2.0277777777777777,2.285362755520936,0.7023862757389652,0.5537006350527096,0.8437238576295535,4.584720032158496
4856,1.25,1.312704212279914,1.3101658411648953,1.1111111111111112,1.3916185814429318,0.6716471007021425,0.6970186420659581,0.6431735732250765,5.004475822077888
4861,0.9166666666666666,1.2489961274831327,1.2348982784052835,1.1388888888888888,1.3214849737707988,0.7816661750545196,0.8869060313787043,0.7000077864655507,6.411140599229487
4866,1.1111111111111112,1.3263619644598534,1.1725382157847692,1.4444444444444444,1.1915168691323499,0.8492633489130282,1.0,0.6701236295871515,4.623908067941702
4873,1.5555555555555556,1.7576478635553503,1.7398317028959833,1.5,1.8565977167084864,0.6694478103074714,0.7397181057563962,0.5824340604723681,3.8444857733739073
4875,1.8888888888888888,2.182122252339028,2.1681865123345925,1.8611111111111112,2.5337829210943905,0.6049077542839492,0.666239344456525,0.5210714162807395,7.310609432998364
4887,1.6388888888888888,1.8028092895156276,1.743375838070912,1.5,1.8457398963652305,0.6341084313015348,0.7512195424155416,0.41907686163850727,2.9889048585548967
4888,1.2222222222222223,1.4767297867717013,1.3604655336514142,1.5,1.619016293485438,0.7771504057905475,0.9319988558242955,0.558691779455534,5.420953037125439
4889,1.1388888888888888,1.5006023974144336,1.4998928906208464,1.3888888888888888,1.3202393341842789,0.7692441868238608,0.7723601760561922,0.7653692901354412,2.941589170924789
4890,1.0833333333333333,1.480835994502329,1.4789773486075681,1.1388888888888888,1.6205141098389169,0.6988772064552997,0.7419379160814513,0.6778522971891393,4.90238234171763
4891,1.3611111111111112,1.9754902535367647,1.9386476610887224,1.5277777777777777,2.105955801945496,0.7406530659955417,0.8234119458179098,0.6388388667671333,5.290295891832677
4892,1.75,2.1879281293183834,2.1864821322297647,1.8333333333333333,2.370421621161986,0.6964691911719585,0.7053873010263342,0.689883627388584,5.793309756999083
4896,1.3611111111111112,1.7203979681900368,1.7092181011551206,1.6388888888888888,1.8349277446924053,0.8061443306458507,0.8732866618815868,0.7542184845314392,5.553595374049129
4898,1.1944444444444444,1.2563233099796127,1.218554266518031,0.9722222222222222,1.4228982794685217,0.5394737367835867,0.7434578464694881,0.3247229633627456,6.019942495736879
4899,1.5277777777777777,2.069679684144017,2.0682374632334177,1.75,2.167555566680751,0.7900157402248078,0.8082456438487855,0.7740744650119846,6.046062672717209
